快乐英语ABC,rtp://225.1.2.182:5002
宝贝爱学,rtp://225.1.1.132:5002
曲艺大观,rtp://225.1.2.53:5002
食全食美,rtp://225.1.1.108:5002
爱心购,rtp://225.1.2.132:5002
天视家居,rtp://225.1.1.243:5002
天视文旅,rtp://225.1.1.244:5002
IPTV导视-联通1 SD,rtp://225.1.1.64:5001
IPTV导视-联通2 SD,rtp://225.1.1.100:5001
IPTV3+ SD,rtp://225.1.1.201:5002
IPTV5+,rtp://225.1.1.106:5002
IPTV足球 SD,rtp://225.1.1.105:5002
精彩影视,rtp://225.1.1.141:5002
901 SD,rtp://225.1.1.78:5002
902,rtp://225.1.1.79:5002
天津三佳购物,rtp://225.1.1.151:5002
东方购物,rtp://225.1.1.181:5002
中视购物 SD,rtp://225.1.2.85:5002
央广购物1 SD,rtp://225.1.1.65:5002
央广购物2 SD,rtp://225.1.1.238:5002
聚鲨环球精选1 SD,rtp://225.1.1.102:5002
聚鲨环球精选2 SD,rtp://225.1.1.245:5002
好享购物 SD,rtp://225.1.1.224:5002
优购物 SD,rtp://225.1.1.225:5002
家有购物 SD,rtp://225.1.1.226:5002
家家购物 SD,rtp://225.1.1.227:5002
快乐购 SD,rtp://225.1.2.24:5002
风尚购物 SD,rtp://225.1.2.204:5002
时尚购物 SD,rtp://225.1.1.242:5002
天津文艺广播,rtp://225.1.1.171:5002
天津经济广播,rtp://225.1.1.172:5002
天津新闻广播,rtp://225.1.1.173:5002
天津生活广播,rtp://225.1.1.174:5002
天津交通广播,rtp://225.1.1.175:5002
天津相声广播,rtp://225.1.1.176:5002
天津小说广播,rtp://225.1.1.177:5002
天津私家车广播,rtp://225.1.1.178:5002
天津音乐广播,rtp://225.1.1.179:5002
天津经典音乐广播,rtp://225.1.1.180:5002
